Objective Value,Error
9435.859551984318, 0.41764716826687476
9044.289041715996, 0.3588174642001196
8660.133115126755, 0.3011017300370726
9230.103767213632, 0.3867343400260865
8752.850672156172, 0.315031651465771
7930.507845807422, 0.19148254894943242
11084.56414100027, 0.665349179837781
7717.216445877834, 0.1594375669888573
9589.15230957054, 0.44067793112538156
9816.965119381108, 0.4749046152916328
8849.20099354565, 0.3295073608091421
171274.4471194175, 0.5835431829012613
168943.10903738905, 0.5619884525318193
162488.086574823, 0.5023075895193466
153687.6062668255, 0.4209414497806515
170992.2773389049, 0.5809343405440593
188270.710190727, 0.7406846419690178
165043.78393414553, 0.5259366667049947
156502.58565739158, 0.4469677572591424
142186.23911027465, 0.3146038620020031
155047.02606371336, 0.43351016617862
178520.32341181388, 0.650536001736461
26639.403103739052, 1.8485247116915153
25105.66829752572, 1.684523983909936
25830.71625204165, 1.7620526360181406
21432.40505736117, 1.2917456220446077
26749.85054638817, 1.8603347461920627
26164.47406400868, 1.7977410248084558
22961.79203655868, 1.4552814410349315
24759.507580572466, 1.6475093649029584
24564.7204413397, 1.6266809710585652
25307.993695596724, 1.7061584362271947
24030.66469488249, 1.5695749246024904
