Objective Value,Error
7368.689931094446, 0.10707480935914158
7334.009393826999, 0.10186439210141215
6659.431532931463, 0.0005155548274433824
6659.431532931463, 0.0005155548274433824
6659.431532931463, 0.0005155548274433824
7078.005516216445, 0.06340227106617267
7078.005516216445, 0.06340227106617267
7254.146835023992, 0.08986581055047957
7078.005516216445, 0.06340227106617267
6810.967444875681, 0.023282368520985787
6858.0352873165975, 0.03035385927232535
110475.31407496975, 0.021415823694466006
113337.93887647236, 0.047882643852775596
112832.3990428359, 0.043208600697453706
112001.77840297006, 0.03552897496250942
116132.87864096188, 0.07372367201029852
112557.7925498393, 0.040669685831408404
115705.48126802134, 0.06977210651005775
115293.38727562863, 0.06596203067362522
112139.6175107624, 0.03680338678022541
111312.47244472889, 0.029155894976182196
112580.75726356157, 0.040882009481980834
11606.446636514233, 0.2410657224673046
12061.853124076179, 0.2897618823862466
11675.248226663609, 0.24842260764153218
11724.083918833909, 0.25364455932783453
11675.170398477754, 0.2484142855515135
11853.98092455529, 0.26753431614149803
11687.155975266496, 0.24969589128170405
11887.670607697246, 0.27113672024136504
12035.32473768384, 0.2869252285803936
11615.4239302593, 0.24202565550249142
11496.538610901955, 0.22931336729062818
