Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance,Average Objective Value
0,0.6394501374094969,230,25,43,0.09143627496833458,0.0799312671761871
1,0.6100017148104381,76,39,95,7.55887586512929e-05,0.07625021435130476
2,0.6660520896256608,351,26,61,4.263963443840893e-05,0.0832565112032076
3,0.6727915387071648,397,39,64,3.0237908316945562e-05,0.0840989423383956
4,0.6845302773466866,431,45,78,4.604518808689447e-05,0.08556628466833582
5,0.6460778009779213,356,40,39,1.79188946136981e-05,0.08075972512224017
6,0.6588037803449608,339,5,50,0.03817878245895314,0.0823504725431201
7,0.6757430845022986,423,23,73,0.00022546442111452274,0.08446788556278732
8,0.6595336089487224,310,11,69,0.0002795927274485967,0.0824417011185903
9,0.6353345011037803,450,44,28,0.002005426978063858,0.07941681263797254
10,0.5650469509878681,52,34,99,0.004165086506417214,0.07063086887348351
11,0.580850926440517,55,35,99,0.004919359045354,0.07260636580506462
12,0.5705150863651622,58,33,98,0.0055244939165689224,0.07131438579564528
13,0.6518461205505132,156,31,86,0.010566603814130762,0.08148076506881415
14,0.6400267278369931,134,18,87,0.0008927610335179325,0.08000334097962414
15,0.6637612699542477,205,50,99,0.012887361313636592,0.08297015874428096
16,0.4862195361864516,112,31,13,0.0018210718308217034,0.06077744202330645
17,0.5289019339143777,126,20,18,0.001141238024649873,0.06611274173929721
18,0.4638344967889182,122,18,11,0.0006336081875378958,0.057979312098614774
19,0.5409056955968109,229,15,13,0.00038510934123205966,0.06761321194960136
20,0.5927594587030997,176,10,29,0.0007423324472560158,0.07409493233788746
21,0.46866073054325896,120,21,10,0.0017954104226790006,0.05858259131790737
22,0.47703936153529813,118,29,11,0.00014404673746631493,0.05962992019191227
23,0.5937403274936371,279,20,23,0.00013021789082612526,0.07421754093670464
24,0.4849323668925116,111,14,10,0.00046393031039058263,0.06061654586156395
25,0.648808747088918,491,29,36,0.00014858694755542725,0.08110109338611475
26,0.5654534388411823,187,23,20,0.002170969554849886,0.07068167985514778
27,0.5523121229310121,87,16,29,0.0004883901151938233,0.06903901536637651
28,0.5549495235403423,153,22,18,0.00010941564212289734,0.06936869044254279
29,0.6449651177216107,230,28,53,0.016616377060701255,0.08062063971520134
30,0.6216680572237497,241,10,33,1.5667070350426684e-05,0.07770850715296872
31,0.454666568179657,100,14,10,0.0007294790675979428,0.056833321022457126
32,0.5240803231122251,90,25,23,0.0011711012303168178,0.06551004038902813
33,0.4765416702513674,147,5,10,0.00024524387993129175,0.059567708781420925
34,0.6147521058921938,156,5,45,0.0027976089679937867,0.07684401323652422
35,0.5049686424853841,89,13,16,0.0006774037757883464,0.06312108031067301
36,0.5813236790786916,190,8,23,5.8123791914092955e-05,0.07266545988483646
37,0.5361204673538402,147,17,15,0.0002956848077918894,0.06701505841923003
38,0.5802489984882114,100,7,44,0.07233223290094913,0.07253112481102643
39,0.6532668992133708,261,12,61,0.0013329659780402067,0.08165836240167135
40,0.4588101918927915,75,19,10,0.00019408255627289622,0.057351273986598936
41,0.4306906145744265,74,19,10,0.0002199548062016973,0.05383632682180331
42,0.5074034210232488,73,19,21,8.25710346390346e-05,0.0634254276279061
43,0.5392963781793971,78,22,26,3.114500823441081e-05,0.06741204727242464
44,0.4801385187164096,70,25,16,0.0001992396799865424,0.0600173148395512
45,0.4838214830396718,104,15,10,0.0004913713851116053,0.06047768537995898
46,0.5119474013029738,51,18,32,0.0036872048955568656,0.06399342516287172
47,0.5410237255625296,133,22,16,0.0003497659261881857,0.0676279656953162
48,0.595939778804208,171,26,26,0.000669146957535892,0.074492472350526
49,0.640614745748055,372,20,39,0.006402979891413491,0.08007684321850687
50,0.5678322837267935,210,17,19,0.0016396308354738728,0.07097903546584919
